"","ms","pure_f","just_set","modded","divd","modded_p"
"1","Alatalo interaction evenness",165.022376399225,7848.27063825703,165.022376399225,47.5588269270245,7.3786200562079e-82
"2","C_score_higher",160.442016155218,568.337926895133,160.442016155218,3.54232600982338,1.07855800628285e-80
"3","cluster coefficient",417.258629901279,4599.7439144163,417.258629901279,11.0237238604378,7.05098114855292e-234
"4","cluster_coefficient_higher",1305.54270069532,64702.2127317091,1305.54270069532,49.5596296446291,1.13844275833499e-297
"5","cluster_coefficient_lower",582.212226494347,3226.54616169607,582.212226494347,5.54187290281408,2.56032154486206e-219
"6","connectance",263.176933181807,7346.20228307963,263.176933181807,27.9135492395329,4.87254569063846e-102
"7","discrepancy_higher",35.193893678237,3179.38316083951,35.193893678237,90.3390568235295,2.45507916074942e-30
"8","discrepancy_lower",31.7685987867088,2520.4180702028,31.7685987867088,79.3367717325096,5.79690225250983e-28
"9","extinction_slope_lower",9.1924622954056,63.2841414490588,9.1924622954056,6.88435148444266,4.66903434699556e-09
"10","Fisher alpha",5.24756532783587,1037.78237415027,5.24756532783587,197.764545901948,4.26194199641643e-05
"11","functional_complementarity_higher",30.4801386618907,5330.79601197865,30.4801386618907,174.894086641533,4.83161496621742e-27
"12","functional_complementarity_lower",49.3470732205538,14779.8722532321,49.3470732205538,299.508588628436,3.8162209479701e-39
"13","generality_higher",47.7685412705776,856.609697157378,47.7685412705776,17.9325069255358,3.11775308467509e-38
"14","interaction evenness",43.644641146664,290.994329491514,43.644641146664,6.66735530058899,9.01274808628111e-36
"15","interaction strength asymmetry",173.738278802869,4864.06272586346,173.738278802869,27.9964942635493,5.26377438670984e-84
"16","linkage density",47.0727232023226,831.815325969045,47.0727232023226,17.6708562704952,7.96257118597025e-38
"17","links per species",283.34355480172,1747.61112786197,283.34355480172,6.16781676606311,2.31242452749138e-105
"18","mean_number_of_shared_partners_higher",34.2459571824764,2765.175349483,34.2459571824764,80.7445776664678,1.08703654110496e-29
"19","mean_number_of_shared_partners_lower",573.174684042266,4479.94877272001,573.174684042266,7.81602694160453,2.09679148515899e-138
"20","nestedness",131.120482735378,27464.2864195776,131.120482735378,209.458399226649,1.52773662554156e-72
"21","niche_overlap_higher",124.458004651739,2404.47537528206,124.458004651739,19.3195719472629,1.69789201673094e-70
"22","niche_overlap_lower",494.439715810927,33356.1022248065,494.439715810927,67.4624249593289,2.62689795358069e-131
"23","number of compartments",2.98974251423906,1.51828640925649e+31,2.98974251423906,5.07831829003816e+30,0.00779943490390051
"24","number_of_species_higher",2.72710003394549,1.0593712562579e+31,2.72710003394549,3.88460724972098e+30,0.0139892205299499
"25","number_of_species_lower",43.2031751136704,1760.93021407165,43.2031751136704,40.7592777484184,1.67994259615372e-35
"26","partner_diversity_higher",26.9012905872357,1337.41637266844,26.9012905872357,49.715695547448,2.13166997445544e-24
"27","partner_diversity_lower",90.3709347292996,4158.24396577398,90.3709347292996,46.0130680094184,1.53633974943637e-58
"28","robustness_lower",9.50877022830928,87.6671924986525,9.50877022830928,9.21961414501866,2.28282551181989e-09
"29","Shannon diversity",24.562119293833,2684.1859488956,24.562119293833,109.281528877255,1.35057549985431e-22
"30","togetherness_higher",209.538797668236,1616.55154019067,209.538797668236,7.71480775006721,5.42038277255895e-92
"31","togetherness_lower",919.480386935575,44523.2656323414,919.480386935575,48.4222026537484,1.559136265566e-161
"32","V_ratio_higher",68.8662374494384,1770.19119384031,68.8662374494384,25.7047758001878,2.82387255895583e-49
"33","V_ratio_lower",148.465787605963,3018.63597882673,148.465787605963,20.3321992729959,1.61685876684738e-77
"34","vulnerability_lower",342.299284903395,4991.31008896872,342.299284903395,14.5817134569165,5.22713397442181e-114
"35","web asymmetry",87.5537973640343,1447.39176569714,87.5537973640343,16.531456193489,2.04188304635824e-57
"36","weighted connectance",702.929494887667,21142.7253524596,702.929494887667,30.0780170788514,2.55123813718477e-148
"37","weighted nestedness",108.253317801146,7252.0948423955,108.253317801146,66.991894472159,3.73148047717867e-65
