"","plicata","soricina","brachyotis","hirsute","microtis","leporhinus","stramenious","davyii","mesoamericanus","tumida","leucoptera"
"1",1,0,0,0,0,0,0,0,0,0,0
"2",4,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,1,0,0,0
"4",1,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,1,0,0
"6",0,0,0,0,0,1,0,0,0,0,0
"7",0,0,0,0,1,0,0,0,0,0,0
"8",8,0,0,0,0,0,0,0,0,0,0
"9",6,0,0,0,0,0,0,1,0,0,0
"10",0,0,0,0,0,0,1,0,0,0,0
"11",15,1,1,0,1,1,1,0,4,0,0
"12",0,0,0,0,0,1,0,0,0,0,0
"13",1,0,0,0,0,0,1,0,2,0,0
"14",10,2,0,0,0,1,0,0,7,1,0
"15",0,2,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,1,0,0
"17",11,2,1,0,0,0,0,0,4,0,0
"18",0,0,0,0,0,0,0,0,1,0,0
"19",1,0,0,0,0,0,0,0,0,0,0
"20",1,1,1,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,1,0,0,0,0,0
"22",1,0,0,0,0,0,1,0,0,0,0
"23",0,0,1,0,0,0,0,0,5,0,0
"24",0,0,0,0,0,0,0,0,1,0,0
"25",0,0,0,0,0,0,0,0,1,0,0
"26",8,2,2,1,0,0,0,1,8,0,0
"27",0,1,0,0,0,0,0,0,0,0,0
"28",0,0,0,1,0,0,0,0,0,0,0
"29",2,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,1,0,0
"31",3,1,0,0,0,0,0,0,0,0,0
"32",1,0,0,0,0,0,0,0,2,0,0
"33",2,0,0,0,0,0,0,0,1,0,0
"34",0,0,0,0,0,1,0,0,0,0,0
"35",0,0,0,0,0,0,1,0,0,0,0
"36",3,0,0,0,0,0,0,0,1,0,0
"37",0,0,0,0,0,0,0,0,1,0,0
"38",5,0,0,0,0,0,1,1,4,1,1
"39",0,0,0,0,0,0,0,0,1,0,0
"40",0,0,0,0,0,0,0,0,1,0,0
"41",0,0,0,0,0,0,0,0,4,0,0
"42",0,1,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,1,0,0
"44",6,2,1,0,0,1,0,0,6,0,0
"45",0,0,1,0,0,0,1,0,1,0,0
"46",0,0,0,0,0,0,0,0,2,0,0
"47",5,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,1,0,0
"49",1,0,0,0,0,0,0,0,1,0,0
"50",0,0,0,0,0,0,0,0,1,0,0
"51",0,1,0,0,0,0,0,0,0,0,0
"52",3,0,0,0,0,0,0,0,5,0,0
"53",21,1,0,0,0,0,0,1,3,0,0
"54",27,9,3,0,1,2,2,2,42,1,0
"55",1,0,0,0,0,0,0,0,0,0,0
"56",2,0,0,0,0,0,0,0,20,0,0
"57",1,0,0,0,0,0,0,0,0,0,0
"58",1,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,2,0,0
"60",0,0,0,0,0,0,0,0,1,0,0
"61",1,0,0,0,0,0,0,0,1,0,0
"62",0,0,0,0,0,0,0,0,19,0,0
"63",0,0,0,0,0,0,0,0,1,0,0
"64",1,1,0,0,0,0,0,1,10,0,0
"65",0,0,0,0,0,0,0,0,1,0,0
"66",7,1,1,0,0,1,1,1,4,0,0
"67",6,2,0,0,0,0,0,0,7,0,0
"68",0,0,0,0,0,0,1,0,0,0,0
"69",0,0,0,0,0,0,0,0,3,0,0
"70",8,2,0,0,0,0,0,1,9,1,0
"71",6,1,1,0,1,1,0,1,2,0,0
"72",2,2,0,0,0,0,1,1,1,0,0
"73",0,0,1,0,0,0,0,0,1,0,0
"74",0,0,0,0,0,0,0,0,1,0,0
"75",8,0,1,0,1,0,0,0,3,0,0
"76",1,0,0,0,0,0,0,0,0,0,0
"77",1,0,0,0,0,0,0,0,0,0,0
"78",0,1,0,0,0,0,1,1,0,0,0
