"","plicata","soricina","brachyotis","hirsute","microtis","leporhinus","stramenious","davyii","mesoamericanus","tumida","leucoptera"
"1",4,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,1,0,1,0,1,0,0
"3",5,0,0,0,0,0,0,0,0,0,0
"4",1,0,0,0,0,0,0,0,0,0,0
"5",1,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,1,0,0
"7",0,0,0,0,0,1,0,0,0,0,0
"8",0,0,0,0,1,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,1,0,0
"10",1,1,0,0,0,0,0,0,0,0,0
"11",13,2,1,0,1,1,1,1,4,0,0
"12",0,0,0,0,0,0,0,0,1,0,0
"13",0,0,0,0,0,1,0,0,0,0,0
"14",1,0,0,0,0,0,0,0,0,0,0
"15",0,2,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,1,0,0
"17",1,1,0,0,0,0,0,0,0,0,0
"18",6,3,0,0,0,0,0,0,3,0,0
"19",0,0,0,0,0,0,0,0,1,0,0
"20",1,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,1,0,0,0,0,0
"22",1,0,0,0,0,0,1,0,0,0,0
"23",19,4,1,0,0,0,2,1,10,1,1
"24",0,0,0,0,0,0,0,0,1,0,0
"25",2,0,0,0,1,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,1,0,0
"27",0,0,0,0,0,0,0,1,2,0,0
"28",0,0,0,0,0,0,0,0,1,0,0
"29",1,1,0,0,0,0,0,0,0,0,0
"30",0,1,0,0,0,0,0,0,0,0,0
"31",3,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,1,0,0,0,0,0,0,0
"33",2,0,0,0,0,0,0,0,0,0,0
"34",3,1,0,0,0,0,0,0,0,0,0
"35",0,1,0,0,0,0,0,0,0,0,0
"36",3,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,1,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,1,0,0,0,0
"39",0,0,0,0,0,0,0,0,1,0,0
"40",0,0,0,0,0,0,0,0,1,0,0
"41",1,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,1,0,0
"43",0,0,0,0,0,0,0,0,1,0,0
"44",0,0,0,0,0,0,0,0,1,0,0
"45",0,1,0,0,0,0,0,0,0,0,0
"46",2,2,0,0,0,0,0,1,1,1,1
"47",1,0,0,0,0,0,0,0,0,0,0
"48",4,0,2,0,0,0,1,1,25,0,0
"49",4,1,1,0,0,0,0,0,1,0,0
"50",0,0,1,0,0,0,1,0,1,0,0
"51",7,2,0,0,0,1,0,1,11,1,0
"52",0,0,0,0,0,0,0,0,2,0,0
"53",0,0,0,0,0,0,0,0,1,0,0
"54",1,0,0,0,0,0,0,0,0,0,0
