"","plicata","soricina","brachyotis","hirsute","microtis","leporhinus","stramenious","davyii","mesoamericanus","tumida","leucoptera"
"1",0,0,0,0,0,0,0,0,1,0,0
"2",0,0,0,0,0,0,0,0,1,0,0
"3",0,0,0,0,0,0,0,0,3,0,0
"4",0,0,0,0,0,0,0,0,4,0,0
"5",1,0,0,0,0,0,0,0,0,0,0
"6",1,1,0,0,0,0,0,0,1,0,0
"7",3,1,0,0,0,0,0,0,1,0,0
"8",1,0,0,0,0,0,0,0,0,0,0
"9",2,0,0,0,0,0,0,0,2,0,0
"10",1,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,1,0,0
"12",1,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,9,0,0
"14",2,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,2,0,0
"16",1,1,1,0,0,0,1,1,11,0,0
"17",0,0,0,0,0,1,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,1,0,0
"19",1,1,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,1,0,0
"21",1,0,0,0,0,0,0,0,0,0,0
"22",1,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,4,0,0
"24",1,0,0,0,0,0,0,0,0,0,0
"25",1,0,0,0,0,0,0,0,0,0,0
"26",0,1,0,0,0,0,0,0,0,0,0
"27",6,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,2,0,0
"29",0,0,0,0,0,0,0,0,1,0,0
"30",2,0,0,0,0,0,0,0,0,0,0
"31",0,0,1,0,0,0,0,0,5,0,0
"32",1,1,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,1,0,0
"34",0,0,1,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,3,0,0
"36",0,0,0,0,0,0,0,1,0,0,0
"37",0,0,0,0,0,0,0,0,1,0,0
"38",0,0,1,0,0,0,0,0,0,0,0
"39",0,0,1,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,1,0,0
"41",0,0,0,0,0,0,0,0,1,0,0
"42",0,0,0,0,0,0,0,0,5,0,0
"43",0,0,0,0,0,0,0,0,0,0,1
"44",0,0,0,0,0,0,0,0,1,0,0
"45",1,0,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,3,0,0
"47",1,0,0,0,0,0,0,0,0,0,0
"48",0,0,1,0,0,0,0,0,0,0,0
"49",0,1,1,0,0,0,0,1,0,0,0
"50",0,0,0,0,0,0,0,0,15,0,0
"51",0,0,0,0,0,0,0,0,1,0,0
"52",1,1,0,0,0,0,0,0,1,0,0
"53",2,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,1,0,0
"55",0,0,0,1,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,1,0,0
"57",0,0,0,0,0,0,0,0,2,0,0
"58",0,0,0,0,0,0,0,1,0,0,0
"59",0,0,0,0,0,0,0,1,0,0,0
"60",0,0,0,0,0,0,0,0,8,0,0
"61",0,0,0,0,0,0,0,0,1,0,0
"62",1,0,0,0,0,0,0,0,1,0,0
"63",0,0,0,0,1,0,0,0,0,0,0
"64",1,0,0,0,0,0,0,0,0,0,0
"65",3,0,0,0,0,0,0,0,0,0,0
"66",2,0,1,0,0,0,0,0,1,0,0
"67",1,0,0,0,0,0,0,0,0,0,0
"68",1,0,0,0,0,0,0,0,0,0,0
"69",0,0,1,0,0,0,0,0,0,0,0
"70",6,0,0,0,0,0,0,0,0,0,0
"71",0,1,0,0,0,0,0,0,0,0,0
"72",2,0,0,0,0,0,0,0,0,0,0
"73",1,0,0,0,0,0,0,0,0,0,0
"74",0,1,0,0,0,0,0,0,0,0,0
"75",1,0,0,0,0,0,0,0,0,0,0
"76",2,1,0,0,0,1,0,0,0,0,0
"77",0,0,0,0,0,0,0,0,1,0,0
"78",0,0,0,0,0,0,0,0,1,0,0
"79",0,0,0,0,0,0,0,0,1,0,0
"80",1,0,0,0,0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0,0,4,0,0
"82",3,0,0,0,0,0,0,1,3,1,0
"83",0,0,0,0,0,0,0,0,1,0,0
"84",0,0,0,0,0,0,1,0,1,0,0
"85",3,0,1,0,0,0,0,0,3,0,0
"86",0,0,0,0,0,0,0,0,1,0,0
"87",0,0,0,0,0,0,1,0,0,0,0
"88",1,0,0,0,0,0,0,0,0,0,0
"89",1,0,0,0,0,0,0,0,0,0,0
"90",2,1,0,0,1,0,0,0,1,0,0
"91",0,0,0,0,0,0,0,0,1,0,0
"92",0,0,0,0,1,0,0,0,0,0,0
"93",0,0,0,0,0,0,0,0,2,0,0
"94",0,0,0,1,0,0,0,0,0,0,0
"95",1,0,0,0,0,0,0,0,0,0,0
"96",0,0,0,0,0,0,0,0,1,0,0
"97",0,0,0,0,0,0,1,0,0,0,0
"98",1,0,0,0,0,0,0,0,2,0,0
"99",1,0,0,0,0,0,1,0,0,0,0
"100",0,0,0,0,0,0,0,0,1,0,0
"101",0,2,0,0,0,0,0,0,0,0,0
"102",1,0,0,0,0,0,0,0,0,0,0
"103",0,0,0,0,0,0,0,0,1,0,0
"104",1,0,0,0,0,0,0,1,0,0,0
"105",1,0,0,0,0,0,0,0,2,0,0
"106",1,0,0,0,0,0,0,0,0,0,0
"107",2,2,0,0,0,0,0,0,2,0,0
"108",1,0,0,0,0,0,0,0,0,0,0
"109",0,0,0,0,0,0,0,0,1,0,0
"110",1,0,0,0,0,0,0,0,0,0,0
"111",1,1,0,0,0,0,0,0,6,0,0
"112",2,1,0,0,0,0,2,0,2,1,0
"113",1,1,0,0,0,0,0,0,0,0,0
"114",0,0,0,0,0,0,0,0,1,0,0
"115",2,0,0,0,0,0,0,0,0,0,0
"116",1,0,0,0,0,0,0,0,0,0,0
"117",2,0,0,0,0,0,0,0,1,0,0
"118",0,0,0,0,0,1,0,0,0,0,0
"119",1,0,0,0,0,0,0,0,0,0,0
"120",0,0,0,0,0,0,0,0,1,0,0
"121",1,0,0,0,0,0,0,0,0,0,0
"122",0,0,0,0,0,0,1,0,0,0,0
"123",0,0,0,0,0,0,0,0,1,0,0
"124",0,0,0,0,0,0,0,1,1,0,0
"125",1,0,0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0,0,1,0,0
"127",0,0,0,0,0,0,0,0,1,0,0
"128",3,0,0,0,0,0,0,0,2,0,0
"129",1,0,0,0,0,0,0,0,0,0,0
"130",0,0,0,0,0,0,1,0,0,0,0
"131",0,0,1,0,0,0,0,0,0,0,0
"132",1,0,0,0,0,0,0,0,0,0,0
"133",0,0,0,0,0,0,0,0,3,0,0
"134",1,0,0,0,0,0,0,0,1,0,0
"135",0,0,0,0,0,0,0,0,3,0,0
"136",0,0,0,0,0,0,0,0,1,0,0
"137",1,0,0,0,0,0,0,0,0,0,0
"138",1,0,0,0,0,0,0,0,0,0,0
"139",1,0,0,0,0,0,0,0,0,0,0
"140",2,0,1,0,0,0,0,1,9,0,0
"141",2,0,1,0,0,0,0,0,1,0,0
"142",1,1,0,0,0,0,0,1,4,0,0
"143",3,0,0,0,0,0,0,0,0,0,0
"144",0,0,0,0,0,0,1,0,1,0,0
"145",1,0,0,0,0,0,0,0,0,0,0
"146",4,0,0,0,0,0,0,0,1,0,0
"147",0,1,0,0,0,0,0,0,0,0,0
"148",0,0,0,0,0,0,0,0,1,0,0
"149",0,0,0,0,0,0,0,0,1,0,0
"150",0,0,0,0,0,0,0,0,1,0,0
"151",2,0,0,0,1,0,0,0,0,0,0
"152",4,0,0,0,0,0,0,0,0,0,0
"153",0,0,0,0,0,0,0,0,1,0,0
"154",0,0,0,0,0,0,0,0,2,0,0
"155",0,0,0,0,0,0,0,1,0,0,0
"156",2,3,1,0,0,1,1,0,5,0,0
