"","plicata","soricina","brachyotis","hirsute","microtis","leporhinus","stramenious","davyii","mesoamericanus","tumida","leucoptera"
"1",0,0,0,0,0,0,0,0,1,0,0
"2",0,0,0,0,0,0,0,0,1,0,0
"3",0,0,0,0,0,0,0,0,1,0,0
"4",0,0,0,0,0,0,0,0,1,0,0
"5",1,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,1,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,1,0,0
"8",1,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,2,0,0
"10",0,1,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,1,0,0
"12",1,0,0,0,0,0,0,0,0,0,0
"13",2,1,0,0,0,0,0,0,1,0,0
"14",0,0,0,0,0,0,1,0,0,0,0
"15",1,0,0,0,0,0,0,0,0,0,1
"16",0,0,0,0,0,0,0,0,1,0,0
"17",7,1,0,0,0,0,0,0,0,0,0
"18",2,0,0,0,0,0,0,0,0,1,0
"19",0,0,0,0,0,0,0,0,1,0,0
"20",1,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,1,0,0,1,1,0,0
"22",0,0,0,0,0,0,0,0,1,0,0
"23",0,2,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,13,0,0
"25",1,0,0,0,0,0,0,0,0,0,0
"26",11,3,0,0,1,0,0,1,6,0,0
"27",2,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,1,0,0
"29",5,1,0,0,0,0,0,0,2,0,0
"30",0,0,0,0,1,0,0,0,0,0,0
"31",1,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,1,0,0
"33",0,1,0,0,0,0,0,0,0,0,0
"34",0,1,0,0,0,0,0,0,0,0,0
"35",1,0,0,0,0,0,0,0,0,0,0
"36",1,0,0,0,0,0,0,0,0,0,0
"37",1,0,0,0,0,0,0,0,0,0,0
"38",1,0,0,0,0,0,0,0,0,0,0
"39",6,1,1,0,0,0,0,0,7,1,0
"40",0,0,0,0,0,0,0,0,2,0,0
"41",1,0,0,0,0,0,0,0,0,0,0
"42",2,0,0,0,0,0,0,0,0,0,0
"43",4,1,2,0,0,0,1,1,25,0,0
"44",0,0,0,0,0,0,0,0,1,0,0
"45",0,0,0,0,0,0,0,0,3,0,0
"46",0,0,1,0,0,0,0,0,1,0,0
"47",0,0,0,0,0,0,0,1,0,0,0
"48",0,0,0,0,0,1,0,0,0,0,0
"49",8,1,0,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0,0,4,0,0
"51",0,0,0,0,0,0,0,0,1,0,0
"52",0,0,0,0,0,0,0,1,0,0,0
"53",0,0,0,0,0,0,0,0,1,0,0
"54",7,0,0,0,0,0,0,1,0,0,0
"55",0,0,0,0,0,1,0,0,0,0,0
"56",2,0,0,0,0,0,0,0,4,0,0
"57",1,0,0,0,0,0,0,0,0,0,0
"58",1,0,0,0,0,0,0,0,0,0,0
"59",2,1,0,0,0,0,0,1,1,0,0
"60",1,0,0,0,0,0,0,0,0,0,0
"61",1,0,0,0,0,0,0,0,1,0,0
"62",0,0,0,0,0,0,0,0,1,0,0
"63",0,0,0,0,0,1,0,0,0,0,0
"64",0,0,0,0,1,0,0,0,0,0,0
"65",5,1,0,0,0,0,1,0,3,0,0
"66",0,0,0,0,0,0,0,0,1,0,0
"67",1,0,0,0,0,0,0,0,0,0,0
"68",0,0,0,0,0,0,0,0,1,0,0
"69",0,0,1,0,0,0,0,0,0,0,1
"70",0,0,0,0,0,0,0,0,1,0,0
"71",1,0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0,1,0,0,0,0
"73",0,0,0,0,0,0,0,0,2,0,0
"74",1,0,0,0,0,0,0,0,0,0,0
"75",1,1,0,0,0,0,0,1,1,0,0
"76",3,0,1,0,0,0,0,0,1,0,0
"77",0,0,0,0,0,0,0,0,1,0,0
"78",1,0,0,0,0,0,0,0,0,0,0
"79",0,0,0,0,0,1,0,0,0,0,0
"80",0,0,0,0,0,0,0,0,1,0,0
"81",11,2,0,0,0,0,1,0,2,0,0
"82",0,0,0,0,0,0,0,0,5,0,0
"83",0,0,0,0,0,0,0,0,1,0,0
"84",5,1,3,0,1,1,1,1,1,0,0
"85",0,0,0,0,0,0,1,0,9,0,0
"86",0,0,0,0,0,0,1,0,3,0,0
"87",0,0,0,0,0,0,0,0,1,0,0
"88",1,2,1,0,0,0,0,0,4,1,0
"89",3,2,0,0,0,0,0,0,5,0,0
"90",0,0,0,0,0,1,0,0,0,0,0
"91",0,0,0,0,0,0,0,0,1,0,0
"92",1,0,0,0,0,0,0,0,0,0,0
"93",0,0,0,0,0,1,0,0,0,0,0
"94",1,0,0,0,0,0,1,0,0,0,0
"95",1,0,0,0,0,0,0,0,0,0,0
"96",0,0,0,0,0,0,0,0,1,0,0
"97",0,0,0,0,0,0,1,0,2,0,0
"98",1,0,0,0,0,0,0,0,1,0,0
"99",0,0,0,0,0,0,0,0,1,0,0
"100",1,1,0,0,0,0,0,0,0,0,0
"101",1,0,0,0,0,0,0,0,1,0,0
"102",1,0,0,0,0,0,0,1,1,0,0
"103",0,0,0,0,0,0,0,0,2,0,0
"104",3,1,0,0,0,0,0,0,2,0,0
"105",0,1,0,0,0,0,0,0,0,0,0
"106",0,0,1,1,0,0,0,0,35,0,0
"107",0,0,0,0,0,0,0,0,1,0,0
"108",0,0,0,1,0,0,0,0,0,0,0
"109",2,0,0,0,0,0,0,0,0,0,0
"110",3,1,0,0,0,0,0,0,0,0,0
"111",0,0,0,1,0,0,0,0,0,0,0
"112",1,0,0,0,0,0,1,0,4,0,0
"113",4,0,0,0,0,0,0,0,0,0,0
"114",3,0,0,0,0,0,0,0,0,0,0
"115",0,0,0,0,0,0,0,0,1,0,0
"116",1,0,0,0,0,0,0,0,0,0,0
"117",0,0,0,0,0,0,0,0,1,0,0
"118",1,0,0,0,0,0,0,0,0,0,0
"119",0,0,0,0,0,1,0,0,0,0,0
"120",1,0,0,0,0,0,0,0,0,0,0
"121",3,0,0,0,0,0,0,0,3,0,1
"122",0,0,0,1,0,0,0,0,0,0,0
"123",2,0,0,0,0,0,0,0,0,1,0
"124",1,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0,1,0,0,0
"126",1,0,0,0,0,0,0,0,1,0,0
"127",1,0,0,0,0,0,1,0,2,0,0
"128",2,0,0,0,0,0,0,0,3,1,0
"129",0,0,0,0,0,0,0,0,1,0,0
"130",0,0,0,0,0,0,0,0,1,0,0
"131",0,1,0,0,0,0,0,0,0,0,0
"132",0,0,0,0,0,0,0,0,1,0,0
"133",1,0,0,0,0,0,0,0,0,0,0
"134",0,0,0,0,0,0,1,1,0,0,0
"135",0,1,0,0,0,0,0,0,0,0,0
"136",3,0,0,0,0,0,0,0,0,0,0
"137",0,0,0,0,0,0,0,0,1,0,0
"138",0,0,0,0,0,0,0,0,1,0,0
"139",4,0,0,0,0,0,0,0,0,0,0
"140",0,0,0,0,0,0,0,0,2,0,0
"141",2,0,0,0,0,0,0,0,1,0,0
"142",0,0,0,0,0,0,0,0,1,0,0
"143",0,0,0,0,0,0,0,0,1,0,0
"144",0,0,0,0,0,0,1,0,0,0,0
"145",1,0,0,0,0,0,0,0,0,0,0
"146",0,0,0,0,0,0,0,0,1,0,0
"147",1,0,0,0,0,0,0,0,0,0,0
"148",2,0,0,0,0,0,0,0,0,0,0
"149",3,0,0,0,0,0,0,0,0,0,0
"150",4,0,0,0,0,0,0,0,0,0,0
"151",2,0,0,0,0,0,1,0,0,0,0
"152",16,1,0,0,0,0,0,1,0,0,0
"153",0,0,0,0,0,0,0,0,3,0,0
"154",2,0,0,0,0,1,0,0,1,0,0
"155",9,4,1,0,0,0,0,1,19,1,1
"156",1,0,0,0,0,0,0,0,0,0,0
