"SAFE","cluster coefficient","930"
"SAFE","cluster coefficient","932"
"SAFE","cluster coefficient","934"
"SAFE","cluster coefficient","936"
"SAFE","cluster coefficient","938"
"SAFE","cluster coefficient","940"
"SAFE","cluster coefficient","942"
"SAFE","cluster coefficient","944"
"SAFE","cluster coefficient","946"
"SAFE","cluster coefficient","948"
"SAFE","cluster coefficient","950"
"SAFE","cluster coefficient","952"
"SAFE","cluster coefficient","954"
"SAFE","cluster coefficient","956"
"SAFE","cluster coefficient","958"
"SAFE","cluster coefficient","960"
"SAFE","cluster coefficient","962"
"SAFE","cluster coefficient","964"
"SAFE","cluster coefficient","966"
"SAFE","cluster coefficient","968"
"SAFE","cluster coefficient","970"
"SAFE","cluster coefficient","972"
"SAFE","cluster coefficient","974"
"SAFE","cluster coefficient","976"
"SAFE","cluster coefficient","978"
"SAFE","cluster coefficient","980"
"SAFE","nestedness","910"
"SAFE","nestedness","912"
"SAFE","nestedness","914"
"SAFE","nestedness","916"
"SAFE","nestedness","918"
"SAFE","nestedness","920"
"SAFE","nestedness","922"
"SAFE","nestedness","924"
"SAFE","nestedness","926"
"SAFE","nestedness","928"
"SAFE","nestedness","930"
"SAFE","nestedness","932"
"SAFE","nestedness","934"
"SAFE","nestedness","936"
"SAFE","nestedness","938"
"SAFE","nestedness","940"
"SAFE","nestedness","942"
"SAFE","nestedness","944"
"SAFE","nestedness","946"
"SAFE","nestedness","948"
"SAFE","nestedness","950"
"SAFE","nestedness","952"
"SAFE","nestedness","954"
"SAFE","nestedness","956"
"SAFE","nestedness","958"
"SAFE","nestedness","960"
"SAFE","nestedness","962"
"SAFE","nestedness","964"
"SAFE","nestedness","966"
"SAFE","nestedness","968"
"SAFE","nestedness","970"
"SAFE","nestedness","972"
"SAFE","nestedness","974"
"SAFE","nestedness","976"
"SAFE","nestedness","978"
"SAFE","nestedness","980"
"SAFE","weighted nestedness","910"
"SAFE","weighted nestedness","912"
"SAFE","weighted nestedness","914"
"SAFE","weighted nestedness","916"
"SAFE","weighted nestedness","918"
"SAFE","weighted nestedness","920"
"SAFE","weighted nestedness","922"
"SAFE","weighted nestedness","924"
"SAFE","weighted nestedness","926"
"SAFE","weighted nestedness","928"
"SAFE","weighted nestedness","930"
"SAFE","weighted nestedness","932"
"SAFE","weighted nestedness","934"
"SAFE","weighted nestedness","936"
"SAFE","weighted nestedness","938"
"SAFE","weighted nestedness","940"
