"","metric","value","network","clustering"
"146","number of compartments",2,"SAFE",950
"147","number of compartments",1,"Texas",950
"148","number of compartments",1,"Beth_cr",952
"149","number of compartments",2,"hernani_dryforestdry",952
"150","number of compartments",1,"hernani_dryforestwet",952
"151","number of compartments",1,"hernani_rainforestdry",952
"152","number of compartments",1,"Jamaica",952
"153","number of compartments",2,"SAFE",952
"154","number of compartments",1,"Texas",952
"155","number of compartments",1,"Beth_cr",954
"156","number of compartments",2,"hernani_dryforestdry",954
"157","number of compartments",1,"hernani_dryforestwet",954
"158","number of compartments",1,"hernani_rainforestdry",954
"159","number of compartments",1,"Jamaica",954
"160","number of compartments",2,"SAFE",954
"161","number of compartments",1,"Texas",954
"162","number of compartments",1,"Beth_cr",956
"163","number of compartments",2,"hernani_dryforestdry",956
"164","number of compartments",1,"hernani_dryforestwet",956
"165","number of compartments",1,"hernani_rainforestdry",956
"166","number of compartments",1,"Jamaica",956
"167","number of compartments",2,"SAFE",956
"168","number of compartments",1,"Texas",956
"169","number of compartments",1,"Beth_cr",958
"170","number of compartments",2,"hernani_dryforestdry",958
"171","number of compartments",1,"hernani_dryforestwet",958
"172","number of compartments",1,"hernani_rainforestdry",958
"173","number of compartments",1,"Jamaica",958
"174","number of compartments",2,"SAFE",958
"175","number of compartments",1,"Texas",958
"176","number of compartments",1,"Beth_cr",960
"177","number of compartments",2,"hernani_dryforestdry",960
"178","number of compartments",1,"hernani_dryforestwet",960
"179","number of compartments",1,"hernani_rainforestdry",960
"180","number of compartments",1,"Jamaica",960
"181","number of compartments",2,"SAFE",960
"182","number of compartments",1,"Texas",960
"183","number of compartments",1,"Beth_cr",962
"184","number of compartments",2,"hernani_dryforestdry",962
"185","number of compartments",1,"hernani_dryforestwet",962
"186","number of compartments",1,"hernani_rainforestdry",962
"187","number of compartments",1,"Jamaica",962
"188","number of compartments",2,"SAFE",962
"189","number of compartments",1,"Texas",962
"190","number of compartments",1,"Beth_cr",964
"191","number of compartments",2,"hernani_dryforestdry",964
"192","number of compartments",1,"hernani_dryforestwet",964
"193","number of compartments",1,"hernani_rainforestdry",964
"194","number of compartments",1,"Jamaica",964
"195","number of compartments",2,"SAFE",964
"196","number of compartments",1,"Texas",964
"197","number of compartments",1,"Beth_cr",966
"198","number of compartments",2,"hernani_dryforestdry",966
"199","number of compartments",1,"hernani_dryforestwet",966
"200","number of compartments",1,"hernani_rainforestdry",966
"201","number of compartments",1,"Jamaica",966
"202","number of compartments",2,"SAFE",966
"203","number of compartments",1,"Texas",966
"204","number of compartments",1,"Beth_cr",968
"205","number of compartments",2,"hernani_dryforestdry",968
"206","number of compartments",1,"hernani_dryforestwet",968
"207","number of compartments",1,"hernani_rainforestdry",968
"208","number of compartments",1,"Jamaica",968
"209","number of compartments",2,"SAFE",968
"210","number of compartments",1,"Texas",968
"211","number of compartments",1,"Beth_cr",970
"212","number of compartments",2,"hernani_dryforestdry",970
"213","number of compartments",1,"hernani_dryforestwet",970
"214","number of compartments",1,"hernani_rainforestdry",970
"215","number of compartments",1,"Jamaica",970
"216","number of compartments",2,"SAFE",970
"217","number of compartments",1,"Texas",970
"218","number of compartments",1,"Beth_cr",972
"219","number of compartments",2,"hernani_dryforestdry",972
"220","number of compartments",1,"hernani_dryforestwet",972
"221","number of compartments",1,"hernani_rainforestdry",972
"222","number of compartments",1,"Jamaica",972
"223","number of compartments",2,"SAFE",972
"224","number of compartments",1,"Texas",972
"225","number of compartments",1,"Beth_cr",974
"226","number of compartments",2,"hernani_dryforestdry",974
"227","number of compartments",1,"hernani_dryforestwet",974
"228","number of compartments",1,"hernani_rainforestdry",974
"229","number of compartments",1,"Jamaica",974
"230","number of compartments",2,"SAFE",974
"231","number of compartments",1,"Texas",974
"232","number of compartments",1,"Beth_cr",976
"233","number of compartments",2,"hernani_dryforestdry",976
"234","number of compartments",1,"hernani_dryforestwet",976
"235","number of compartments",1,"hernani_rainforestdry",976
"236","number of compartments",1,"Jamaica",976
"237","number of compartments",2,"SAFE",976
"238","number of compartments",1,"Texas",976
"239","number of compartments",1,"Beth_cr",978
"240","number of compartments",2,"hernani_dryforestdry",978
"241","number of compartments",1,"hernani_dryforestwet",978
"242","number of compartments",1,"hernani_rainforestdry",978
"243","number of compartments",1,"Jamaica",978
"244","number of compartments",2,"SAFE",978
"245","number of compartments",1,"Texas",978
"246","number of compartments",1,"Beth_cr",980
"247","number of compartments",2,"hernani_dryforestdry",980
"248","number of compartments",1,"hernani_dryforestwet",980
"249","number of compartments",1,"hernani_rainforestdry",980
"250","number of compartments",1,"Jamaica",980
"251","number of compartments",2,"SAFE",980
"252","number of compartments",1,"Texas",980
