"","Ap","Ct","Em","Eper","Lc","Mv","Mc","Mcil","Mm","Mt","Mvel","My","Nf","Nyma","Ph","Tb"
"1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3
"2",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"9",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"11",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"12",0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"14",1,0,0,0,0,1,1,0,0,0,0,1,0,0,5,0
"15",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,6
"19",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"22",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"25",0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,1
"26",0,0,0,0,0,0,2,0,10,0,0,0,5,2,0,6
"27",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"28",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"30",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,2
"33",0,0,0,4,0,0,0,0,1,0,0,0,1,3,0,1
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"36",0,1,0,0,0,1,0,1,0,1,0,0,2,0,0,0
"37",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
